ORG_LEVEL,CITY,AREA,DISTRICT,SECTOR,SAFETY,TRUST,START_DATE,END_DATE
Other,chicago,area_2,22,2210,70.84,69.85,09/01/2018,09/30/2018
Other,chicago,area_2,4,420,52.44,60.99,12/01/2019,12/31/2019
Other,chicago,area_5,25,2530,58.14,64.94,09/01/2018,09/30/2018
Other,chicago,area_3,18,1830,64.76,79.45,04/01/2020,04/30/2020
Other,chicago,area_2,4,430,65.46,62.01,12/01/2018,12/31/2018
Other,chicago,area_4,11,1130,46.26,47.73,12/01/2020,12/31/2020
Other,chicago,area_3,18,,61.43,77.34,03/01/2020,03/31/2020
Other,chicago,area_3,20,2030,65.6,64.09,09/01/2018,09/30/2018
Other,chicago,area_2,5,,51.88,57.84,12/01/2020,12/31/2020
Other,chicago,area_5,17,1720,62.75,71.26,07/01/2020,07/31/2020
Other,chicago,area_5,17,,62.71,69.49,11/01/2019,11/30/2019
Other,chicago,area_3,24,2430,67.9,65.09,05/01/2018,05/31/2018
Other,chicago,area_1,3,330,50.59,51.36,03/01/2020,03/31/2020
Other,chicago,area_3,19,1910,65.51,63.24,11/01/2018,11/30/2018
Other,chicago,area_1,9,920,58.4,58.54,03/01/2020,03/31/2020
Other,chicago,area_3,19,1910,61.15,63.46,11/01/2019,11/30/2019
Other,chicago,area_2,4,,53.42,53.06,08/01/2018,08/31/2018
Other,chicago,area_1,3,330,46.36,44.11,06/01/2020,06/30/2020
Other,chicago,area_2,6,610,60.46,50.69,06/01/2020,06/30/2020
Other,chicago,area_5,,,59.75,72.97,07/01/2020,07/31/2020
Other,chicago,area_5,,,67.17,66.53,04/01/2019,04/30/2019
Other,chicago,area_1,3,,47.16,48.99,07/01/2019,07/31/2019
Other,chicago,area_3,20,2020,66.79,73.03,07/01/2019,07/31/2019
Other,chicago,area_4,11,,48.93,47.98,08/01/2018,08/31/2018
Other,chicago,SOUTH,,,56.94,50.36,02/24/2019,03/02/2019
Other,chicago,area_4,15,1510,52.49,48.32,06/01/2019,06/30/2019
Other,chicago,area_2,4,430,40.26,58.33,08/01/2020,08/31/2020
Other,chicago,area_3,1,,61.84,67.84,09/01/2019,09/30/2019
Other,chicago,area_5,25,,59.11,62.29,01/01/2020,01/31/2020
Other,chicago,area_5,25,2530,62.23,61.59,12/01/2018,12/31/2018
Other,chicago,area_2,5,520,55.7,60.18,04/01/2020,04/30/2020
Other,chicago,area_3,19,1910,78.75,78.39,05/01/2020,05/31/2020
Other,chicago,area_3,18,1820,73.22,77.38,02/01/2019,02/28/2019
Other,chicago,area_4,11,1120,30.3,47.13,10/01/2018,10/31/2018
Other,chicago,area_3,18,,67.45,68.37,11/01/2018,11/30/2018
Other,chicago,area_5,16,1650,72.48,86.13,07/01/2020,07/31/2020
Other,chicago,area_4,10,1030,46.01,52.46,04/01/2018,04/30/2018
Other,chicago,area_5,14,1420,61.21,57.88,12/01/2020,12/31/2020
Other,chicago,area_2,22,2230,57.53,56.34,08/01/2018,08/31/2018
Other,chicago,area_3,20,,68.1,66.51,06/01/2019,06/30/2019
Other,chicago,area_3,20,,67.61,63.81,09/01/2020,09/30/2020
Other,chicago,area_5,25,2510,55.11,71.09,07/01/2020,07/31/2020
Other,chicago,area_1,2,210,66.85,63.97,11/01/2017,11/30/2017
Other,chicago,area_2,22,2210,67.62,81.63,01/01/2020,01/31/2020
Other,chicago,SOUTH,,,63.24,55.2,03/11/2018,03/17/2018
Other,chicago,area_2,4,420,48.78,51.21,07/01/2020,07/31/2020
Other,chicago,area_1,2,230,59.5,56.65,11/01/2017,11/30/2017
Other,chicago,area_3,18,,69.38,71.59,12/01/2018,12/31/2018
Other,chicago,area_4,15,,53.24,54.22,07/01/2018,07/31/2018
Other,chicago,SOUTH,,,61.08,56.98,12/23/2018,12/29/2018
Other,chicago,area_5,14,1410,59.21,61.04,02/01/2021,02/28/2021
Other,chicago,area_4,,,50.9,45.64,12/01/2018,12/31/2018
Other,chicago,area_1,8,810,60.4,67.11,09/01/2018,09/30/2018
Other,chicago,area_1,3,330,53.21,39.58,10/01/2018,10/31/2018
Other,chicago,area_1,,,59.9,56.29,12/01/2017,12/31/2017
Other,chicago,area_2,5,520,52.75,61.15,03/01/2020,03/31/2020
Other,chicago,area_1,7,710,49.08,38.26,01/01/2019,01/31/2019
Other,chicago,area_3,24,,61.84,63.98,11/01/2018,11/30/2018
Other,chicago,area_2,4,420,47.88,55.44,02/01/2021,02/28/2021
Other,chicago,area_5,14,1410,71.64,75.21,05/01/2020,05/31/2020
Other,chicago,area_3,20,2030,66.02,62.47,10/01/2020,10/31/2020
Other,chicago,area_5,25,2510,63.64,66.41,08/01/2018,08/31/2018
Other,chicago,area_5,16,,65.67,83.59,08/01/2020,08/31/2020
Other,chicago,area_2,,,60.49,58.23,12/01/2017,12/31/2017
Other,chicago,area_3,18,,64.18,71.96,08/01/2019,08/31/2019
Other,chicago,area_5,14,1410,58.58,64.86,11/01/2020,11/30/2020
Other,chicago,area_5,25,2510,65.58,70.12,04/01/2019,04/30/2019
Other,chicago,area_4,11,1130,66.34,60.83,02/01/2018,02/28/2018
Other,chicago,area_1,3,,59.92,53.09,04/01/2018,04/30/2018
Other,chicago,area_5,16,,65.66,75.74,01/01/2020,01/31/2020
Other,chicago,area_3,24,2420,58.4,67.08,01/01/2019,01/31/2019
Other,chicago,area_3,18,1810,72.33,75.54,02/01/2019,02/28/2019
Other,chicago,area_3,24,2410,68.49,69.76,03/01/2019,03/31/2019
Other,chicago,area_2,4,430,48.79,59.59,10/01/2020,10/31/2020
Other,chicago,area_1,8,,51.54,76.62,09/01/2020,09/30/2020
Other,chicago,area_2,4,420,56.36,49.83,07/01/2018,07/31/2018
Other,chicago,area_5,16,1630,65.47,72.92,09/01/2019,09/30/2019
Other,chicago,area_5,17,1710,67.67,69.86,09/01/2019,09/30/2019
Other,chicago,area_2,4,410,60.23,52.1,04/01/2019,04/30/2019
Other,chicago,area_4,,,60.76,51.81,03/01/2018,03/31/2018
Other,chicago,area_3,24,2410,62.93,61.31,05/01/2018,05/31/2018
Other,chicago,area_3,1,130,46.54,71.45,03/01/2021,03/31/2021
Other,chicago,area_5,16,1610,67.89,87.59,09/01/2020,09/30/2020
Other,chicago,area_4,11,1130,40.1,32.27,09/01/2018,09/30/2018
Other,chicago,area_1,7,730,43,42.63,06/01/2018,06/30/2018
Other,chicago,area_3,24,,63.45,68.49,10/01/2019,10/31/2019
Other,chicago,area_2,6,610,53.75,47.4,05/01/2019,05/31/2019
Other,chicago,,,,57.81,52.56,09/16/2018,09/22/2018
Other,chicago,,,,57.81,52.56,09/16/2018,09/22/2018
Other,chicago,area_2,22,2230,62.47,63.28,05/01/2020,05/31/2020
Other,chicago,area_1,9,910,60.49,58.99,09/01/2018,09/30/2018
Other,chicago,area_2,4,420,55.21,53.41,04/01/2018,04/30/2018
Other,chicago,area_4,10,,59.91,59.8,01/01/2018,01/31/2018
Other,chicago,area_2,22,2210,73.9,80.03,10/01/2019,10/31/2019
Other,chicago,area_2,5,510,47.6,60.93,01/01/2021,01/31/2021
Other,chicago,area_5,17,,67.8,73.5,04/01/2020,04/30/2020
Other,chicago,area_3,19,1930,71.04,64.35,04/01/2018,04/30/2018
Other,chicago,area_3,1,,62.31,75.64,05/01/2020,05/31/2020
Other,chicago,,,,62.51,59.62,12/23/2018,12/29/2018
Other,chicago,,,,62.51,59.62,12/23/2018,12/29/2018
Other,chicago,area_1,3,320,50.97,44,05/01/2019,05/31/2019
Other,chicago,area_2,5,530,49.07,58.42,02/01/2020,02/29/2020
Other,chicago,area_5,17,,64.68,68.19,07/01/2019,07/31/2019
Other,chicago,SOUTH,,,61.57,56.63,02/25/2018,03/03/2018
Other,chicago,area_3,19,1930,73.17,68.49,02/01/2018,02/28/2018
Other,chicago,area_3,12,1230,59.75,70.48,04/01/2020,04/30/2020
Other,chicago,area_5,17,1730,71.41,66.53,10/01/2019,10/31/2019
Other,chicago,area_1,7,720,43.99,43.48,03/01/2021,03/31/2021
Other,chicago,area_3,12,1220,58.73,59.09,11/01/2018,11/30/2018
Other,chicago,NORTH,,,65.28,64.02,12/09/2018,12/15/2018
Other,chicago,area_4,,,42.37,48.94,02/01/2021,02/28/2021
Other,chicago,area_2,5,530,57.56,61.2,10/01/2019,10/31/2019
Other,chicago,area_3,20,,67.11,75.23,04/01/2020,04/30/2020
Other,chicago,area_5,25,2550,58.44,61.97,07/01/2018,07/31/2018
Other,chicago,area_1,2,210,61.13,56.46,02/01/2019,02/28/2019
Other,chicago,area_4,10,1030,62.44,58.47,04/01/2019,04/30/2019
Other,chicago,area_3,19,1910,66.44,68.14,03/01/2019,03/31/2019
